species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants,host_plant_families,host_plant_status
Junonia coenia,Common Buckeye,ingested,lepidoptera,"[-124.16, 15.87, -63.79, 50.71]",2015-01-01 to 2025-12-31,0,74300,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Agalinis, Agalinis fasciculata, Agalinis homalantha, Agalinis maritima, Agalinis pinetorum, Agalinis purpurea, Agalinis strictifolia, Agalinis tenuifolia, Antirrhinum, Antirrhinum majus, Aucuba, Aureolaria grandiflora, Buchnera americana, Castilleja exserta, Castilleja lacera, Castilleja purpurea, Cymbalaria muralis, Diascia vigilis, Digitalis, Dyschoriste linearis, Kickxia spuria, Linaria, Linaria maroccana, Linaria vulgaris, Lippia, Maurandella antirrhiniflora, Mimulus, Mimulus guttatus?, Mimulus moschatus, Nuttallanthus canadensis, Penstemon azureus, Phyla lanceolata, Phyla nodiflora, Plantago, Plantago coronopus, Plantago erecta, Plantago helleri, Plantago lanceolata, Plantago major, Plantago rugelii, Plantago virginica, Ruellia nudiflora, Russelia equisetiformis, Seymeria cassioides, Seymeria pectinata, Striga asiatica, Verbena lasiostachys, Veronica americana, Veronica anagallis-aquatica","Acanthaceae, Aucubaceae, Plantaginaceae, Verbenaceae",complete
Panacea regina,Queen Flasher,ingested,lepidoptera,"[-78.66, -12.78, -67.81, 5.42]",2015-10-19 to 2025-11-28,0,25,2026-02-12,SPECIES,,100,,Auto-added from existing GeoJSON file,,,,,missing
Papilio polyxenes,Black Swallowtail,ingested,lepidoptera,"[-122.10, 15.17, -59.94, 53.44]",2015-01-01 to 2025-12-28,0,84695,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Aegopodium, Anethum, Anethum graveolens, Angelica, Angelica ampla, Angelica atropurpurea, Angelica venenosa, Apium, Apium graveolens, Berula erecta, Brassica oleracea, Carum carvi, Cicuta, Cicuta bulbifera, Cicuta douglasii, Cicuta maculata, Conium, Conium maculatum, Cryptotaenia canadensis, Cymopterus panamintensis, Daucus, Daucus carota, Daucus dioica, Daucus pusillus, Dictamnus, Dictamnus albus, Eryngium cuneifolium, Foeniculum, Foeniculum vulgare, Harbouria trachypleura, Heracleum, Heracleum maximum, Levisticum officinale, Ligusticum, Ligusticum scoticum, Lomatium, Magnolia acuminata, Magnolia virginiana, Musineon tenuifolium, Osmorhiza claytonii, Osmorhiza longistylis, Oxypolis canbyi, Oxypolis filiformis, Pastinaca, Pastinaca sativa, Petroselinum, Petroselinum crispum, Ptilimnium capillaceum, Ruta graveolens, Sanicula odorata, Sium suave, Spananthe paniculata, Spermolepis divaricata, Taenidia, Taenidia integerrima, Tauschia arguta, Tauschia parishii, Thamnosma, Thamnosma montana, Thamnosma texana, Thaspium barbinode, Torilis, Zanthoxylum americanum, Zizia","Apiaceae, Brassicaceae, Magnoliaceae, Rutaceae",complete
Phoebis sennae,Cloudless Sulphur,ingested,lepidoptera,"[-121.84, 14.87, -69.96, 46.68]",2015-01-01 to 2025-12-30,0,30596,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Casearia sylvestris, Cassia, Cassia alata, Cassia biflora, Cassia ferruginea, Cassia fistula, Cassia occidentalis, Chamaecrista chamaecristoides, Chamaecrista fasciculata, Chamaecrista nictitans, Crotalaria agatiflora, Phaseolus, Senna alata, Senna armata, Senna bicapsularis, Senna corymbosa, Senna covesii, Senna hirsuta, Senna marilandica, Senna obtusifolia, Senna occidentalis, Senna uniflora","Fabaceae, Flacourtiaceae",complete
Speyeria cybele,Great Spangled Fritillary,ingested,lepidoptera,"[-124.11, 29.68, -59.82, 56.71]",2015-01-01 to 2025-10-17,0,36994,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Viola, Viola adunca, Viola canadensis, Viola palustris, Viola rotundifolia, Viola sororia",Violaceae,complete
Speyeria idalia,Regal Fritillary,ingested,lepidoptera,"[-110.73, 35.22, -75.61, 48.17]",2015-01-01 to 2025-09-18,0,879,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Viola, Viola lanceolata, Viola pedata, Viola pedatifida, Viola sororia",Violaceae,complete
Vanessa atalanta,Red Admiral,ingested,lepidoptera,"[-156.35, 16.10, -52.63, 64.85]",2015-01-01 to 2025-12-31,0,91105,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Boehmeria, Boehmeria cylindrica, Boehmeria nivea, Carduus, Cirsium, Helichrysum, Humulus, Humulus lupulus, Laportea canadensis, Parietaria, Parietaria floridana, Parietaria judaica, Parietaria officinalis, Parietaria pensylvanica, Pipturus albidus, Salix, Soleirolia soleirolii, Urtica, Urtica dioica, Urtica urens","Asteraceae, Cannabaceae, Salicaceae, Urticaceae",complete
Vanessa cardui,Painted Lady,ingested,lepidoptera,"[-159.79, 16.00, -52.63, 64.86]",2017-01-05 to 2026-01-12,0,55779,2026-01-31,SPECIES,,100,,Auto-added from existing GeoJSON file,,,"Achillea millefolium, Alcea rosea, Althaea, Althaea officinalis, Amsinckia, Amsinckia douglasiana, Anaphalis, Anaphalis margaritacea, Anchusa, Anchusa officinalis, Arctium, Arctium lappa, Arctium minus, Arctium tomentosum, Arctotis, Arctotis grandis, Arctotis stoechadifolia, Argemone mexicana, Argyrolobium, Artemisia, Artemisia frigida, Artemisia ludoviciana, Artemisia princeps, Artemisia stelleriana, Artemisia subdecurrens, Artemisia vulgaris, Berkheya, Berkheya discolor, Beta vulgaris, Blumea, Blumea alata, Boehmeria, Boehmeria nivea, Borago, Borago officinalis, Brassica rapa, Calendula officinalis, Carduus, Carduus acanthoides, Carduus crispus, Carduus nutans, Carduus pycnocephalus, Carlina vulgaris, Centaurea, Centaurea nigra, Centaurea solstitialis, Chenopodium album, Chrysanthemum, Cirsium, Cirsium acaule, Cirsium altissimum, Cirsium arvense, Cirsium callilepis, Cirsium discolor, Cirsium douglasii, Cirsium helenioides, Cirsium hydrophilum, Cirsium japonicum, Cirsium muticum, Cirsium neomexicanum, Cirsium occidentale, Cirsium scopulorum, Cirsium texanum, Cirsium undulatum, Cirsium vulgare, Citrus sinensis, Cnicus benedictus, Cryptantha, Cryptantha angustifolia, Cucumis melo, Cynara cardunculus, Cynara scolymus, Cynoglossum, Cynoglossum coeruleum ?, Cynoglossum lanceolatum ?, Debregeasia bicolor, Dendranthema indicum, Dimorphotheca, Dimorphotheca pluvialis, Dolichos, Echinops humilis, Echium, Echium vulgare, Eriodictyon californicum, Eryngium, Euchiton japonicus, Filago, Filago arvensis, Filago pyramidata, Fragaria, Gamochaeta pensylvanica, Gamochaeta purpurea, Gazania, Gerardiina, Girardinia, Girardinia diversifolia, Glycine, Glycine max, Gnaphalium, Gnaphalium affiro, Gnaphalium declinatum, Gnaphalium purpureum, Gossypium, Helianthella, Helianthus annuus, Helianthus argophyllus, Helichrysum, Ipomoea batatas, Lablab purpureus, Lactuca sativa, Lantana, Laportea, Laportea allidens, Lappula, Lupinus, Lupinus albifrons, Lupinus arboreus, Lupinus argenteus, Lupinus articus, Lupinus bicolor, Lupinus formosus, Lupinus perennis, Lupinus succulentus, Madia, Madia sativa, Malva, Malva moschata, Malva neglecta, Malva nicaeensis, Malva parviflora, Malva rotundifolia, Malva sylvestris, Malva verticillata, Malvella leprosa, Medicago sativa, Mentha, Mentha spicata, Myosotis, Nicotiana, Nicotiana glauca, Nonea, Obetia radula, Onopordum acanthium, Oryza sativa, Parietaria, Parthenium argentatum, Pentzia, Petunia, Phacelia campanularia, Phaseolus, Phaseolus vulgaris, Pisum sativum, Plantago lanceolata, Plantago major, Prunus, Raphanus sativus, Rhamnus, Ricinus, Ricinus communis, Rumex, Salvia, Senecio, Senecio cineraria, Senecio maritima, Serratula, Silybum marianum, Smilax china, Solanum tuberosum, Soleirolia, Sonchus, Sphaeralcea ambigua, Stachys floridana, Stoebe, Symphytum X uplandicum, Symphytum officinale, Tanacetum, Trifolium, Ulmus americana, Ulmus davidiana, Urtica, Urtica dioica, Urtica massaica, Urtica thunbergiana, Urtica urens, Wyethia glabra, Xanthium, Xanthium spinosum, Xanthium strumarium, Zea mays, Zornia diphylla","Amaranthaceae, Apiaceae, Asteraceae, Boraginaceae, Brassicaceae, Convolvulaceae, Cucurbitaceae, Euphorbiaceae, Fabaceae, Hydrophyllaceae, Lamiaceae, Malvaceae, Papaveraceae, Plantaginaceae, Poaceae, Polygonaceae, Rhamnaceae, Rosaceae, Rutaceae, Smilacaceae, Solanaceae, Ulmaceae, Urticaceae, Verbenaceae",complete
Phyciodes tharos,Pearl Crescent,ingested,lepidoptera,"[-160.99, 16.08, -52.69, 69.22]",2015-01-01 to 2025-12-25,99697,64322,2026-02-13,SPECIES,1918988,64.5,,,"CA,MX,US",Northern America,"Aster, Aster acuminatus, Aster ciliolatus, Aster drummondii, Aster dumosus, Aster ericoides, Aster laevis, Aster lanceolatus, Aster lateriflorus, Aster novae-angliae, Aster pilosus, Aster praealtus, Aster puniceus, Aster umbellatus, Cirsium, Plantago, Sericocarpus linifolius, Verbesina, Verbesina helianthoides","Asteraceae, Plantaginaceae",complete
Speyeria aphrodite,Aphrodite Fritillary,ingested,lepidoptera,"[-125.07, 33.94, -60.98, 60.03]",2015-01-01 to 2025-10-03,5215,4577,2026-01-31,SPECIES,1905301,87.8,,,"CA,US",Northern America,"Viola, Viola lanceolata, Viola nuttallii, Viola sagittata, Viola sororia, Viola tricolor, Viola x primulifolia",Violaceae,complete
