plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Amaranthaceae,Alternanthera,denticulata,Nymphalidae,Hypolimnas,bolina,India,Alternanthera denticulata,Hypolimnas bolina
Polygonaceae,Polygonum,orientale,Nymphalidae,Kallima,inachus,India,Polygonum orientale,Kallima inachus
Piperaceae,Piper,,Nymphalidae,Memphis,beatrix,Costa Rica,Piper,Memphis beatrix
Poaceae,Capillipedium,assimile,Nymphalidae,Lethe,confusa,Bhutan,Capillipedium assimile,Lethe confusa
Lamiaceae,Plectranthus,,Nymphalidae,Junonia,tugela,Southern Africa,Plectranthus,Junonia tugela
Amaranthaceae,Alternanthera,denticulata,Nymphalidae,Hypolimnas,bolina,Indo-Australian,Alternanthera denticulata,Hypolimnas bolina
Acanthaceae,Blechum,pyramidatum,Nymphalidae,Kallima,limborgii,Malaysia,Blechum pyramidatum,Kallima limborgii
Piperaceae,Piper,,Nymphalidae,Memphis,cleomestra,Costa Rica,Piper,Memphis cleomestra
Poaceae,Miscanthus,floridulus,Nymphalidae,Lethe,confusa,Hong Kong,Miscanthus floridulus,Lethe confusa
Asteraceae,Arctotheca,calendula,Nymphalidae,Junonia,villida,Indo-Australian,Arctotheca calendula,Junonia villida
Amaranthaceae,Alternanthera,sessilis,Nymphalidae,Hypolimnas,bolina,Andaman Islands,Alternanthera sessilis,Hypolimnas bolina
Acanthaceae,Strobilanthes,callosus,Nymphalidae,Kallima,limborgii,West Malaysia,Strobilanthes callosus,Kallima limborgii
Euphorbiaceae,Croton,,Nymphalidae,Memphis,morvus,Argentina,Croton,Memphis morvus
Poaceae,Sasa,borealis,Nymphalidae,Lethe,diana,Korea,Sasa borealis,Lethe diana
Plantaginaceae,Plantago,lanceolata,Nymphalidae,Junonia,villida,Australia,Plantago lanceolata,Junonia villida
Acanthaceae,Asystasia,,Nymphalidae,Hypolimnas,bolina,Australasia,Asystasia,Hypolimnas bolina
Acanthaceae,Strobilanthes,pedunculosus,Nymphalidae,Kallima,limborgii,West Malaysia,Strobilanthes pedunculosus,Kallima limborgii
Lauraceae,Nectandra,globosa,Nymphalidae,Memphis,morvus,Neotropical,Nectandra globosa,Memphis morvus
Poaceae,Sasa,kurilensis,Nymphalidae,Lethe,diana,former USSR,Sasa kurilensis,Lethe diana
Plantaginaceae,Plantago,major,Nymphalidae,Junonia,villida,Fiji,Plantago major,Junonia villida
Acanthaceae,Asystasia,gangetica,Nymphalidae,Hypolimnas,bolina,Australia,Asystasia gangetica,Hypolimnas bolina
Acanthaceae,Pseuderanthemum,malabaricum,Nymphalidae,Kallima,paralekta,West Malaysia,Pseuderanthemum malabaricum,Kallima paralekta
Euphorbiaceae,Croton,jalapensis,Nymphalidae,Memphis,pithyusa,Costa Rica,Croton jalapensis,Memphis pithyusa
Poaceae,Microstegium,ciliatum,Nymphalidae,Lethe,europa,Hong Kong,Microstegium ciliatum,Lethe europa
Verbenaceae,Stachytarpheta,jamaicensis,Nymphalidae,Junonia,villida,New Caledonia,Stachytarpheta jamaicensis,Junonia villida
Convolvulaceae,Ipomoea,hederacea,Nymphalidae,Hypolimnas,bolina,Hong Kong,Ipomoea hederacea,Hypolimnas bolina
Liliaceae,Lilium,triginum,Nymphalidae,Kaniska,canace,Russia,Lilium triginum,Kaniska canace
Euphorbiaceae,Croton,nr. hircinus,Nymphalidae,Memphis,pithyusa,Venezuela,Croton nr. hircinus,Memphis pithyusa
Poaceae,Dinochloa,andamanica,Nymphalidae,Lethe,europa,Andaman Islands,Dinochloa andamanica,Lethe europa
Verbenaceae,Verbena,,Nymphalidae,Junonia,villida,Australia,Verbena,Junonia villida
Urticaceae,Laportea,interrupta,Nymphalidae,Hypolimnas,bolina,Oriental,Laportea interrupta,Hypolimnas bolina
Smilacaceae,Smilax,,Nymphalidae,Kaniska,canace,Japan,Smilax,Kaniska canace
Violaceae,Viola,palustris,Nymphalidae,Mesoacidalia,aglaja,Europe,Viola palustris,Mesoacidalia aglaja
Poaceae,Brachiaria,mutica,Nymphalidae,Lethe,rohira,Taiwan,Brachiaria mutica,Lethe rohira
Acanthaceae,Barleria,,Nymphalidae,Junonia,westermanni,East Africa,Barleria,Junonia westermanni
Convolvulaceae,Merremia,hederacea,Nymphalidae,Hypolimnas,bolina,Hong Kong,Merremia hederacea,Hypolimnas bolina
Smilacaceae,Smilax,perfoliata,Nymphalidae,Kaniska,canace,Sri Lanka,Smilax perfoliata,Kaniska canace
