species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants
Hypaurotis crysalus,Colorado Hairstreak,ingested,butterfly,"[-113.59, 17.34, -96.85, 41.31]",2015-05-29 to 2025-09-14,0.0,321,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Junonia coenia,Common Buckeye,ingested,butterfly,"[-124.16, 15.87, -63.79, 50.71]",2015-01-01 to 2025-12-31,0.0,74300,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Panacea regina,Queen Flasher,ingested,butterfly,"[-78.66, -12.78, -67.81, 5.42]",2015-10-19 to 2025-11-28,0.0,25,2026-02-12,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Papilio polyxenes,Black Swallowtail,ingested,butterfly,"[-122.10, 15.17, -59.94, 53.44]",2015-01-01 to 2025-12-28,0.0,84695,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Phoebis sennae,Cloudless Giant Sulphur,ingested,butterfly,"[-121.84, 14.87, -69.96, 46.68]",2015-01-01 to 2025-12-30,0.0,30596,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Speyeria cybele,Great Spangled Fritillary,ingested,butterfly,"[-124.11, 29.68, -59.82, 56.71]",2015-01-01 to 2025-10-17,0.0,36994,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Speyeria idalia,Regal Fritillary,ingested,butterfly,"[-110.73, 35.22, -75.61, 48.17]",2015-01-01 to 2025-09-18,0.0,879,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Vanessa atalanta,Red Admiral,ingested,butterfly,"[-156.35, 16.10, -52.63, 64.85]",2015-01-01 to 2025-12-31,0.0,91105,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Vanessa cardui,Painted Lady,ingested,butterfly,"[-159.79, 16.00, -52.63, 64.86]",2017-01-05 to 2026-01-12,0.0,55779,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Phyciodes tharos,Pearl Crescent,ingested,butterfly,"[-160.99, 16.08, -52.69, 69.22]",2015-01-01 to 2025-12-25,99697.0,64322,2026-02-13,SPECIES,1918988,64.5,,,"CA,MX,US",Northern America,
Speyeria aphrodite,Aphrodite Fritillary,ingested,butterfly,"[-125.07, 33.94, -60.98, 60.03]",2015-01-01 to 2025-10-03,5215.0,4577,2026-01-31,SPECIES,1905301,87.8,,,"CA,US",Northern America,
Speyeria callippe,Callippe Fritillary,ingested,butterfly,"[-125.37, 32.61, -103.39, 52.58]",2015-03-14 to 2025-08-22,,2185,2026-02-13,SPECIES,,100.0,,,"CA,US",Northern America,
Celastrina,Azure,ingested,butterfly,"[-148.30, -8.82, 145.50, 69.33]",2015-01-01 to 2025-12-11,,3109,2026-02-12,GENUS,,100.0,,,"BE,BT,CA,CN,CR,DE,DK,EE,ES,FR,GB,GT,HK,ID,IE,IN,IT,JE,JP,KR,LB,LK,ME,MX,MY,NL,NP,PA,PH,PK,PT,RS,RU,SE,TH,TL,TW,US,VN",Northern Europe,
